2bf65f35304b2402c652052d25fc2f608cb844bf,Sun Jul 10 2011 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
,85cb6f7217e15f62225185ffd97491f34b7b49bb,Wed Jul 10 2019 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
boillodmanuel,1,4.649181991122385
tfiskgul,2,3.364413443246671
slonopotamus,1,2.7699682942295496
chilinglam,1,4.840938490805327
glhez,4,2.0796448953709574
chrisruffalo,2,3.6136968928344957
chirino,1,8.944527584020292
huxi,1,8.84864933417882
kirill-vlasov,1,3.556169942929613
sclasen,5,8.369258084971465
jakobwenzel,1,2.367279644895371
Woodham,1,2.0796448953709574
ansel1,2,8.561014584654407
triceo,2,2.3481039949270768
samvv,4,5.166924540266328
brasseld,1,5.49291058972733
pcl,1,8.541838934686114
dozmus,19,1.7536588459099556
tom-haines,1,2.022117945466075
helllth,2,4.9751680405833865
71a1562385057d498290,1,2.2714013950539
edbrannin,1,3.9972098922003805
jmassenet,1,5.933950538998098
yevmel,2,2.041293595434369
evigeant,1,7.372124286620165
pmendelson,1,7.333772986683576
jconwell,1,5.1093975903614455
gbalats,1,5.473734939759036
xfournet,4,8.695244134432468
garydgregory,4,2.808319594166138
mar-kolya,1,4.2656689917565
acornejo,1,7.870691185795815
jodastephen,2,2.0029422954977805
mattjbray,1,2.6932656943563726
andylaw,2,5.397032339885859
JesusFreke,1,2.808319594166138
joelittlejohn,1,7.0077869372225745
styurin,1,6.816030437539633
madrob,3,6.106531388712746
ymenager,1,5.377856689917565
tiberiu-biking,1,1.8303614457831325
mmzen,1,2.942549143944198
TKlerx,2,4.342371591629677
cedricrefresh,8,6.720152187698161
adpdiddy,1,3.2493595434369054
lindenb,3,2.3097526949904883
Dougrinch,1,2.0029422954977805
simon-clarkstone,2,3.9205072923272035
selliera,14,2.942549143944198
juewe,1,1.8878883956880153
tzellman,2,6.106531388712746
simon04,16,2.865846544071021
Vanuan,5,6.720152187698161
jeremysolarz,34,2.5782117945466076
amuraru,3,7.736461636017755
shekhargulati,1,2.022117945466075
cheister,1,4.476601141407736
henryju,1,7.62140773620799
sauthieg,1,8.944527584020292
cbeust,551,9.002054533925174
kovalskyi,4,2.7699682942295496
wardev,3,4.016385542168675
,70da85ac4ce16b8a9afb1e11b9f7e8eddec672cf,Fri Jul 10 2020 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
boillodmanuel,1,5.651794546607483
tfiskgul,2,4.367025998731769
slonopotamus,1,3.772580849714648
chilinglam,1,5.8435510462904245
glhez,4,3.082257450856056
chrisruffalo,2,4.616309448319594
chirino,1,9.94714013950539
huxi,1,9.851261889663919
kirill-vlasov,1,4.558782498414711
sclasen,5,9.371870640456564
jakobwenzel,1,3.369892200380469
Woodham,1,3.082257450856056
ansel1,2,9.563627140139506
triceo,2,3.350716550412175
samvv,4,6.169537095751426
brasseld,1,6.495523145212428
pcl,1,9.54445149017121
dozmus,19,2.756271401395054
tom-haines,1,3.024730500951173
helllth,2,5.977780596068484
71a1562385057d498290,1,3.2740139505389982
edbrannin,1,4.999822447685479
jmassenet,1,6.936563094483196
yevmel,2,3.0439061509194674
evigeant,1,8.374736842105262
pmendelson,1,8.336385542168674
jconwell,1,6.112010145846544
gbalats,1,6.476347495244134
xfournet,4,9.697856689917565
garydgregory,4,3.8109321496512365
mar-kolya,1,5.268281547241598
acornejo,1,8.873303741280914
jodastephen,2,3.005554850982879
mattjbray,1,3.695878249841471
andylaw,2,6.399644895370957
JesusFreke,1,3.8109321496512365
joelittlejohn,1,8.010399492707673
styurin,1,7.8186429930247305
madrob,3,7.109143944197844
ymenager,1,6.380469245402663
tiberiu-biking,1,2.832974001268231
mmzen,1,3.945161699429296
TKlerx,2,5.344984147114775
cedricrefresh,8,7.72276474318326
adpdiddy,1,4.251972098922004
lindenb,3,3.3123652504755867
Dougrinch,1,3.005554850982879
simon-clarkstone,2,4.923119847812302
selliera,14,3.945161699429296
juewe,1,2.8905009511731135
tzellman,2,7.109143944197844
simon04,16,3.868459099556119
Vanuan,5,7.72276474318326
mkarg,2,0.762003804692454
jeremysolarz,34,3.5808243500317056
amuraru,3,8.739074191502853
shekhargulati,1,3.024730500951173
cheister,1,5.479213696892835
henryju,1,8.624020291693087
sauthieg,1,9.94714013950539
cbeust,573,10.004667089410272
kovalskyi,4,3.772580849714648
wardev,3,5.018998097653773
